	HMDD	dbDEMC	miR2Disease	miRwayDB	PhenomiR	result
hsa-mir-218	false	false	true	false	false	miR2Disease;
hsa-mir-21	false	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;
hsa-mir-155	false	false	false	false	true	PhenomiR;
hsa-mir-17	false	false	false	false	true	PhenomiR;
hsa-mir-145	false	true	false	false	true	dbDEMC;PhenomiR;
hsa-mir-34a	false	true	false	true	true	dbDEMC;miRwayDB;PhenomiR;
hsa-mir-20a	false	false	false	false	true	PhenomiR;
hsa-mir-125b	false	true	false	false	false	dbDEMC;
hsa-mir-92a	false	false	false	false	false	unconfirmed;
hsa-mir-18a	false	true	false	false	false	dbDEMC;
hsa-mir-16	false	true	false	false	false	dbDEMC;
hsa-mir-19b	false	true	false	false	false	dbDEMC;
hsa-mir-146a	false	true	false	false	true	dbDEMC;PhenomiR;
hsa-mir-221	false	true	false	true	false	dbDEMC;miRwayDB;
hsa-mir-126	false	false	false	false	true	PhenomiR;
hsa-mir-143	false	false	true	false	true	miR2Disease;PhenomiR;
hsa-let-7a	false	false	false	false	false	unconfirmed;
hsa-mir-19a	false	true	false	false	true	dbDEMC;PhenomiR;
hsa-mir-200b	false	true	false	false	false	dbDEMC;
hsa-mir-31	false	true	false	true	true	dbDEMC;miRwayDB;PhenomiR;
hsa-mir-200c	false	true	false	false	true	dbDEMC;PhenomiR;
hsa-mir-182	false	false	false	false	true	PhenomiR;
hsa-mir-222	false	true	false	false	false	dbDEMC;
hsa-mir-15a	false	true	false	false	true	dbDEMC;PhenomiR;
hsa-mir-181a	false	true	false	true	false	dbDEMC;miRwayDB;
hsa-mir-210	false	true	false	false	true	dbDEMC;PhenomiR;
hsa-mir-223	false	true	false	false	true	dbDEMC;PhenomiR;
hsa-mir-106b	false	true	false	false	true	dbDEMC;PhenomiR;
hsa-mir-181b	false	false	false	false	false	unconfirmed;
hsa-mir-29c	false	true	false	false	false	dbDEMC;
hsa-mir-29a	false	true	false	false	true	dbDEMC;PhenomiR;
hsa-let-7c	false	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;
hsa-mir-29b	false	false	false	false	false	unconfirmed;
hsa-mir-200a	false	true	false	false	true	dbDEMC;PhenomiR;
hsa-mir-183	false	false	false	false	true	PhenomiR;
hsa-mir-1	false	false	false	false	false	unconfirmed;
hsa-mir-203	false	true	false	false	true	dbDEMC;PhenomiR;
hsa-let-7b	false	false	true	false	true	miR2Disease;PhenomiR;
hsa-mir-214	false	false	true	false	true	miR2Disease;PhenomiR;
hsa-let-7d	false	true	false	false	true	dbDEMC;PhenomiR;
hsa-mir-34c	false	false	false	false	true	PhenomiR;
hsa-mir-9	false	true	false	false	false	dbDEMC;
hsa-mir-142	false	false	false	false	true	PhenomiR;
hsa-mir-199a	false	true	false	false	false	dbDEMC;
hsa-mir-10b	false	true	false	false	true	dbDEMC;PhenomiR;
hsa-mir-124	false	false	false	true	false	miRwayDB;
hsa-mir-146b	false	true	false	false	false	dbDEMC;
hsa-mir-195	false	true	false	true	true	dbDEMC;miRwayDB;PhenomiR;
hsa-mir-205	false	true	false	false	true	dbDEMC;PhenomiR;
hsa-mir-150	false	false	false	false	true	PhenomiR;
