	HMDD	dbDEMC	miR2Disease	miRwayDB	result
hsa-mir-21	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-155	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-146a	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-145	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-17	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-125b	false	true	false	false	dbDEMC;
hsa-mir-126	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-20a	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-34a	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-16	false	true	false	false	dbDEMC;
hsa-mir-221	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-29a	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-92a	false	true	false	false	dbDEMC;
hsa-let-7a	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-143	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-18a	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-19b	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-1	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-29b	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-223	false	true	true	false	dbDEMC;miR2Disease;PhenomiR;
hsa-mir-200c	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-200b	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-19a	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-15a	false	true	false	false	dbDEMC;PhenomiR;
hsa-mir-31	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-222	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-let-7b	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-199a	false	false	false	false	unconfirmed;
hsa-let-7c	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-29c	false	true	false	true	dbDEMC;miRwayDB;PhenomiR;
hsa-mir-142	true	false	false	false	PhenomiR;HMDD;
hsa-mir-200a	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-210	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-181a	false	true	true	false	dbDEMC;miR2Disease;
hsa-let-7e	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-133b	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-let-7f	false	true	false	false	dbDEMC;
hsa-mir-34c	true	false	true	false	miR2Disease;PhenomiR;HMDD;
hsa-let-7d	false	true	false	false	dbDEMC;PhenomiR;
hsa-mir-9	false	true	false	false	dbDEMC;
hsa-mir-146b	true	false	false	false	PhenomiR;HMDD;
hsa-mir-106b	false	true	true	false	dbDEMC;miR2Disease;PhenomiR;
hsa-mir-150	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-let-7g	false	true	true	false	dbDEMC;miR2Disease;PhenomiR;
hsa-let-7i	false	true	false	false	dbDEMC;PhenomiR;
hsa-mir-181b	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-133a	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-101	false	true	false	false	dbDEMC;
hsa-mir-30a	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-182	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
