	HMDD	dbDEMC	miR2Disease	miRwayDB	PhenomiR	result
hsa-mir-21	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-1322	true	false	false	false	false	HMDD;
hsa-mir-200c	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-617	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-766	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-192	false	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;
hsa-mir-155	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-205	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-203	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-1246	true	false	false	false	false	HMDD;
hsa-mir-548d	false	false	false	false	false	unconfirmed;
hsa-mir-302f	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-451a	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-145	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-141	true	false	false	false	false	HMDD;
hsa-mir-146a	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-499a	true	false	false	false	false	HMDD;
hsa-mir-193a	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-574	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-425	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-20a	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-34a	true	false	false	false	false	HMDD;
hsa-mir-126	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-let-7a	false	false	false	false	false	unconfirmed;
hsa-mir-92a	false	true	false	false	false	dbDEMC;
hsa-mir-143	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-200c	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-223	true	false	true	false	false	miR2Disease;HMDD;
hsa-mir-19a	true	true	false	false	false	dbDEMC;HMDD;
hsa-let-7b	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-200a	true	true	false	false	false	dbDEMC;HMDD;
hsa-let-7c	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-199a	false	true	false	false	false	dbDEMC;
hsa-mir-31	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-34c	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-210	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-15a	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-29c	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-203	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-141	true	false	false	false	false	HMDD;
hsa-mir-34b	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-196a	false	true	true	false	false	dbDEMC;miR2Disease;
hsa-mir-101	false	true	false	false	false	dbDEMC;
hsa-mir-148a	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-205	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-150	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-100	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-133a	false	true	false	false	false	dbDEMC;
hsa-mir-214	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-375	true	true	true	false	false	dbDEMC;miR2Disease;HMDD;
