	HMDD	dbDEMC	miR2Disease	miRwayDB	result
hsa-mir-21	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-155	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-17	true	true	false	false	dbDEMC;HMDD;
hsa-mir-145	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-146a	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-34a	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-20a	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;HMDD;
hsa-mir-125b	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-126	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-92a	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-18a	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-let-7a	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-221	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-16	false	true	true	true	dbDEMC;miR2Disease;miRwayDB;
hsa-mir-19b	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-200b	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-19a	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-29a	true	true	false	false	dbDEMC;HMDD;
hsa-mir-200c	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-let-7b	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-29b	false	true	false	true	dbDEMC;miRwayDB;
hsa-mir-103a	false	false	false	false	unconfirmed;
hsa-mir-223	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-451a	true	true	false	false	dbDEMC;HMDD;
hsa-mir-138	false	true	false	false	dbDEMC;
hsa-mir-378a	true	false	false	false	HMDD;
hsa-let-7c	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-1	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-199a	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-193a	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-222	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-210	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-151a	true	false	false	false	HMDD;
hsa-mir-499a	true	false	false	false	HMDD;
hsa-mir-200a	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-34c	true	true	false	false	dbDEMC;HMDD;
hsa-let-7e	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-let-7d	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-181a	false	true	false	false	dbDEMC;
hsa-mir-29c	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-15a	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-146b	true	true	false	false	dbDEMC;HMDD;
hsa-mir-320a	true	true	false	false	dbDEMC;HMDD;
hsa-mir-31	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-let-7i	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-106b	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-142	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-let-7f	false	true	false	false	dbDEMC;
hsa-mir-181b	false	true	false	false	dbDEMC;
hsa-mir-182	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
