	HMDD	dbDEMC	miR2Disease	miRwayDB	result
hsa-mir-21	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-485	true	false	false	false	PhenomiR;HMDD;
hsa-mir-663a	true	false	false	false	HMDD;
hsa-mir-138	false	true	false	false	dbDEMC;
hsa-mir-378a	true	false	false	false	HMDD;
hsa-mir-17	true	true	false	true	dbDEMC;miRwayDB;PhenomiR;HMDD;
hsa-mir-20a	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-34a	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-125b	false	true	false	false	dbDEMC;
hsa-mir-92a	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-18a	true	true	false	true	dbDEMC;miRwayDB;PhenomiR;HMDD;
hsa-mir-19b	false	true	false	false	dbDEMC;
hsa-mir-16	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-19a	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-143	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-15a	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-181a	false	true	true	true	dbDEMC;miR2Disease;miRwayDB;
hsa-mir-31	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-199a	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-9	false	true	false	true	dbDEMC;miRwayDB;
hsa-mir-150	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-125a	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-27a	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-199b	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-196b	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-339	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-454	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-660	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-495	true	false	false	false	HMDD;
hsa-mir-575	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-331	true	false	true	false	miR2Disease;PhenomiR;HMDD;
hsa-mir-155	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-145	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-146a	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-221	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-126	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-let-7a	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-29a	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-29b	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-223	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-222	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-200b	false	true	false	false	dbDEMC;PhenomiR;
hsa-mir-1	false	true	false	false	dbDEMC;
hsa-let-7b	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-29c	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-200c	false	true	false	false	dbDEMC;
hsa-let-7c	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-181b	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-34c	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-210	false	true	true	false	dbDEMC;miR2Disease;PhenomiR;
