	HMDD	dbDEMC	miR2Disease	miRwayDB	PhenomiR	result
hsa-mir-21	true	true	true	true	false	dbDEMC;miR2Disease;miRwayDB;HMDD;
hsa-mir-29a	true	false	false	false	false	HMDD;
hsa-mir-122	true	true	false	false	false	dbDEMC;HMDD;
hsa-let-7b	true	false	false	false	false	HMDD;
hsa-mir-200a	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-223	true	false	false	false	false	HMDD;
hsa-mir-210	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-34c	true	false	false	false	false	HMDD;
hsa-mir-133b	true	false	false	false	false	HMDD;
hsa-let-7i	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-375	true	false	false	false	false	HMDD;
hsa-mir-30a	true	false	true	false	false	miR2Disease;HMDD;
hsa-mir-24	false	true	false	false	false	dbDEMC;
hsa-mir-10b	true	false	true	false	false	miR2Disease;HMDD;
hsa-mir-486	true	false	false	false	false	HMDD;
hsa-mir-372	true	false	false	false	false	HMDD;
hsa-mir-629	true	false	false	false	false	HMDD;
hsa-mir-148b	true	false	false	false	false	HMDD;
hsa-mir-155	false	true	false	false	false	dbDEMC;
hsa-mir-145	false	false	false	false	false	unconfirmed;
hsa-mir-146a	false	false	false	false	false	unconfirmed;
hsa-mir-17	false	false	true	false	false	miR2Disease;
hsa-mir-34a	false	false	true	true	false	miR2Disease;miRwayDB;
hsa-mir-125b	false	false	false	false	false	unconfirmed;
hsa-mir-20a	false	false	false	false	false	unconfirmed;
hsa-mir-126	false	false	true	false	false	miR2Disease;
hsa-mir-221	false	true	false	false	false	dbDEMC;
hsa-mir-16	false	false	false	false	false	unconfirmed;
hsa-let-7a	false	false	false	false	false	unconfirmed;
hsa-mir-92a	false	false	false	false	false	unconfirmed;
hsa-mir-18a	false	false	false	false	false	unconfirmed;
hsa-mir-200b	false	true	false	false	false	dbDEMC;
hsa-mir-143	false	false	false	false	false	unconfirmed;
hsa-mir-200c	false	false	true	false	false	miR2Disease;
hsa-mir-1	false	false	false	false	false	unconfirmed;
hsa-mir-199a	false	false	false	true	false	miRwayDB;
hsa-mir-29b	false	false	true	false	false	miR2Disease;
hsa-mir-19b	false	false	false	false	false	unconfirmed;
hsa-mir-222	false	true	false	false	false	dbDEMC;
hsa-mir-19a	false	false	false	false	false	unconfirmed;
hsa-mir-31	false	false	true	false	false	miR2Disease;
hsa-let-7c	false	true	true	false	false	dbDEMC;miR2Disease;
hsa-mir-15a	false	false	true	false	false	miR2Disease;
hsa-mir-29c	false	false	true	false	false	miR2Disease;
hsa-mir-142	false	false	false	false	false	unconfirmed;
hsa-mir-182	false	false	false	false	false	unconfirmed;
hsa-mir-181a	false	true	false	false	false	dbDEMC;
hsa-let-7e	false	false	true	false	false	miR2Disease;
hsa-mir-181b	false	true	false	false	false	dbDEMC;
hsa-let-7f	false	false	false	false	false	unconfirmed;
