	HMDD	dbDEMC	miR2Disease	miRwayDB	result
hsa-mir-21	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-155	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-146a	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-17	true	true	false	true	dbDEMC;miRwayDB;PhenomiR;HMDD;
hsa-mir-125b	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-34a	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-145	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-20a	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-126	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-1297	true	true	false	false	dbDEMC;HMDD;
hsa-mir-511	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-499a	true	false	false	false	HMDD;
hsa-mir-221	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-let-7a	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-92a	false	true	false	false	dbDEMC;
hsa-mir-18a	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-138	false	true	false	false	dbDEMC;
hsa-mir-103a	false	false	false	false	unconfirmed;
hsa-mir-19b	false	true	false	false	dbDEMC;
hsa-mir-193a	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-128	false	true	false	true	dbDEMC;miRwayDB;
hsa-mir-19a	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-1	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-29a	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-let-7b	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-29b	true	true	true	false	dbDEMC;miR2Disease;HMDD;
hsa-mir-143	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-574	true	false	false	false	PhenomiR;HMDD;
hsa-mir-223	true	true	false	true	dbDEMC;miRwayDB;PhenomiR;HMDD;
hsa-mir-199a	false	true	false	false	dbDEMC;
hsa-let-7c	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-34c	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-200b	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-365a	true	false	false	false	HMDD;
hsa-let-7e	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-326	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-200c	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-103b	false	false	false	false	unconfirmed;
hsa-mir-365b	true	false	false	false	HMDD;
hsa-mir-513a	false	false	false	false	unconfirmed;
hsa-let-7d	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-222	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-146b	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-29c	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-210	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-9	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-31	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-let-7g	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-34b	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-let-7f	false	true	true	false	dbDEMC;miR2Disease;
