	HMDD	dbDEMC	miR2Disease	miRwayDB	result
hsa-mir-21	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-155	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-146a	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-221	true	true	true	false	dbDEMC;miR2Disease;HMDD;
hsa-let-7a	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-223	true	true	false	false	dbDEMC;HMDD;
hsa-mir-29a	true	true	false	false	dbDEMC;HMDD;
hsa-mir-29b	false	true	false	false	dbDEMC;
hsa-mir-143	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-222	true	true	false	false	dbDEMC;HMDD;
hsa-let-7b	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-1	false	true	false	false	dbDEMC;
hsa-mir-31	false	true	false	false	dbDEMC;
hsa-let-7c	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-199a	false	true	false	false	dbDEMC;
hsa-mir-9	false	true	true	true	dbDEMC;miR2Disease;miRwayDB;
hsa-mir-18a	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-19a	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-34c	false	false	false	false	PhenomiR;
hsa-let-7d	true	true	false	false	dbDEMC;HMDD;
hsa-mir-106b	false	true	false	true	dbDEMC;miRwayDB;PhenomiR;
hsa-mir-182	true	true	false	true	dbDEMC;miRwayDB;PhenomiR;HMDD;
hsa-mir-126	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-let-7e	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-let-7f	false	true	false	false	dbDEMC;
hsa-mir-29c	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-181a	false	true	false	true	dbDEMC;miRwayDB;
hsa-mir-34b	false	true	true	false	dbDEMC;miR2Disease;PhenomiR;
hsa-mir-195	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-200a	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-30a	false	true	false	false	dbDEMC;PhenomiR;
hsa-mir-205	true	true	false	false	dbDEMC;HMDD;
hsa-mir-183	false	true	false	true	dbDEMC;miRwayDB;
hsa-mir-7	false	true	false	false	dbDEMC;
hsa-mir-133a	false	true	false	false	dbDEMC;
hsa-mir-27a	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-141	false	true	false	false	dbDEMC;
hsa-mir-10b	false	true	false	false	dbDEMC;
hsa-mir-106a	false	true	true	false	dbDEMC;miR2Disease;PhenomiR;
hsa-mir-148a	false	true	false	false	dbDEMC;
hsa-mir-93	true	true	false	false	dbDEMC;HMDD;
hsa-mir-100	true	true	false	false	dbDEMC;HMDD;
hsa-mir-150	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-15b	false	true	false	false	dbDEMC;PhenomiR;
hsa-mir-25	false	true	false	false	dbDEMC;PhenomiR;
hsa-mir-199b	false	true	false	false	dbDEMC;PhenomiR;
hsa-mir-203	true	true	false	false	dbDEMC;HMDD;
hsa-mir-224	false	true	false	false	dbDEMC;
hsa-mir-22	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-133b	true	true	false	false	dbDEMC;PhenomiR;HMDD;
