	HMDD	dbDEMC	miR2Disease	miRwayDB	PhenomiR	result
hsa-mir-663a	true	false	false	false	false	HMDD;
hsa-mir-155	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-151b	true	false	false	false	false	HMDD;
hsa-mir-138	false	true	false	false	false	dbDEMC;
hsa-mir-151a	true	false	false	false	false	HMDD;
hsa-mir-146a	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-17	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-20a	true	true	false	false	false	dbDEMC;HMDD;
hsa-let-7a	false	true	false	false	false	dbDEMC;
hsa-mir-18a	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-1	false	true	false	false	false	dbDEMC;
hsa-let-7b	true	true	false	false	false	dbDEMC;HMDD;
hsa-let-7c	true	false	false	false	false	HMDD;
hsa-mir-223	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-29c	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-let-7e	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-34c	true	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-let-7d	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-9	false	false	false	true	false	miRwayDB;
hsa-let-7f	false	true	false	false	false	dbDEMC;
hsa-let-7i	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-205	true	true	false	false	false	dbDEMC;HMDD;
hsa-let-7g	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-34b	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-101	false	true	false	true	false	dbDEMC;miRwayDB;
hsa-mir-214	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-10b	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-218	false	true	false	false	false	dbDEMC;
hsa-mir-100	true	true	true	false	false	dbDEMC;miR2Disease;HMDD;
hsa-mir-26a	false	true	false	false	false	dbDEMC;
hsa-mir-18b	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-98	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-149	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-144	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-216b	true	false	false	false	false	HMDD;
hsa-mir-21	false	true	false	false	false	dbDEMC;
hsa-mir-125b	false	true	false	false	false	dbDEMC;
hsa-mir-145	false	true	false	false	false	dbDEMC;
hsa-mir-34a	false	true	false	false	false	dbDEMC;
hsa-mir-126	false	true	false	false	false	dbDEMC;
hsa-mir-221	false	true	false	false	false	dbDEMC;
hsa-mir-92a	false	true	false	true	false	dbDEMC;miRwayDB;
hsa-mir-16	false	true	false	false	false	dbDEMC;
hsa-mir-19b	false	true	false	false	false	dbDEMC;
hsa-mir-29a	false	true	false	false	false	dbDEMC;
hsa-mir-19a	false	true	false	false	false	dbDEMC;
hsa-mir-200b	false	false	false	false	false	unconfirmed;
hsa-mir-143	false	true	false	false	false	dbDEMC;
hsa-mir-29b	false	true	false	false	false	dbDEMC;
hsa-mir-200c	false	false	false	false	false	unconfirmed;
