	HMDD	dbDEMC	miR2Disease	miRwayDB	result
hsa-mir-21	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-155	true	false	true	false	miR2Disease;PhenomiR;HMDD;
hsa-mir-17	true	true	false	true	dbDEMC;miRwayDB;PhenomiR;HMDD;
hsa-mir-146a	true	true	true	false	dbDEMC;miR2Disease;HMDD;
hsa-mir-125b	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-145	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-20a	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-1299	true	true	false	false	dbDEMC;HMDD;
hsa-mir-34a	true	true	false	false	dbDEMC;HMDD;
hsa-mir-126	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-103a	false	false	false	false	unconfirmed;
hsa-let-7a	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-18a	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-221	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-138	false	true	false	false	dbDEMC;
hsa-mir-92a	false	true	false	false	dbDEMC;
hsa-mir-200b	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-19b	false	true	false	false	dbDEMC;
hsa-mir-16	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-499a	true	false	false	false	HMDD;
hsa-mir-151a	true	false	false	false	HMDD;
hsa-mir-642a	true	false	false	false	HMDD;
hsa-mir-320a	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-128	false	true	false	false	dbDEMC;
hsa-mir-19a	true	true	false	false	dbDEMC;PhenomiR;HMDD;
hsa-mir-502	true	false	false	false	HMDD;
hsa-mir-625	true	true	false	false	dbDEMC;HMDD;
hsa-mir-29a	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-let-7b	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-1	false	true	false	false	dbDEMC;
hsa-mir-200a	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-199a	false	false	true	false	miR2Disease;
hsa-mir-200c	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-29b	false	true	false	false	dbDEMC;
hsa-let-7c	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-223	true	false	true	false	miR2Disease;PhenomiR;HMDD;
hsa-mir-9	false	true	true	true	dbDEMC;miR2Disease;miRwayDB;
hsa-mir-34c	true	false	true	false	miR2Disease;PhenomiR;HMDD;
hsa-let-7d	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-let-7e	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-146b	true	false	true	false	miR2Disease;PhenomiR;HMDD;
hsa-mir-141	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-let-7i	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-let-7f	false	true	true	false	dbDEMC;miR2Disease;
hsa-mir-218	false	false	false	false	unconfirmed;
hsa-mir-106b	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-let-7g	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-34b	true	true	true	false	dbDEMC;miR2Disease;HMDD;
hsa-mir-214	true	true	true	false	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-31	true	true	false	false	dbDEMC;PhenomiR;HMDD;
