	HMDD	dbDEMC	miR2Disease	miRwayDB	PhenomiR	result
hsa-mir-21	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-155	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-603	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-17	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-146a	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-145	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-630	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-451b	true	false	false	false	false	HMDD;
hsa-mir-20a	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-125b	false	true	false	false	false	dbDEMC;
hsa-mir-548d	false	false	false	false	false	unconfirmed;
hsa-mir-34a	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-126	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-451a	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-103a	false	true	false	false	false	dbDEMC;
hsa-mir-221	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-128	false	true	false	false	false	dbDEMC;
hsa-mir-190a	true	false	false	false	false	HMDD;
hsa-let-7a	false	true	false	false	false	dbDEMC;
hsa-mir-708	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-16	false	true	false	false	false	dbDEMC;
hsa-mir-18a	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-92a	false	true	false	false	false	dbDEMC;
hsa-mir-103b	false	true	false	false	false	dbDEMC;
hsa-mir-625	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-425	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-200b	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-143	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-let-7b	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-29b	false	true	false	false	false	dbDEMC;
hsa-mir-199a	false	true	false	false	false	dbDEMC;
hsa-mir-223	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-200c	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-let-7c	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-222	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-200a	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-34c	true	false	true	false	true	miR2Disease;PhenomiR;HMDD;
hsa-mir-15a	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-let-7e	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-let-7d	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-210	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-31	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-let-7f	false	true	false	false	false	dbDEMC;
hsa-mir-146b	true	true	false	false	false	dbDEMC;HMDD;
hsa-let-7i	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-let-7g	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-203	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-181b	false	true	false	false	false	dbDEMC;
hsa-mir-101	false	true	false	false	false	dbDEMC;
