	HMDD	dbDEMC	miR2Disease	miRwayDB	PhenomiR	result
hsa-mir-21	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-17	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-1256	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-1296	true	false	false	false	false	HMDD;
hsa-mir-616	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-647	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-146a	true	false	true	false	true	miR2Disease;PhenomiR;HMDD;
hsa-mir-145	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-125b	false	true	true	false	false	dbDEMC;miR2Disease;
hsa-mir-20a	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-34a	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-642b	true	false	false	false	false	HMDD;
hsa-mir-126	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-378a	true	false	false	false	false	HMDD;
hsa-mir-378b	true	false	false	false	false	HMDD;
hsa-mir-378c	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-378d	false	true	false	false	false	dbDEMC;
hsa-mir-378e	true	false	false	false	false	HMDD;
hsa-mir-378f	true	false	false	false	false	HMDD;
hsa-mir-378g	true	false	false	false	false	HMDD;
hsa-mir-378h	true	false	false	false	false	HMDD;
hsa-mir-378i	true	false	false	false	false	HMDD;
hsa-mir-193a	true	false	false	false	true	PhenomiR;HMDD;
hsa-mir-574	true	false	false	false	false	HMDD;
hsa-mir-642a	true	false	false	false	false	HMDD;
hsa-mir-708	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-151a	true	false	false	false	false	HMDD;
hsa-mir-221	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-92a	false	true	false	false	false	dbDEMC;
hsa-mir-320a	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-let-7a	false	true	true	false	false	dbDEMC;miR2Disease;
hsa-mir-519d	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-16	false	true	true	false	false	dbDEMC;miR2Disease;
hsa-mir-151b	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-200b	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-29a	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-29b	false	true	true	false	false	dbDEMC;miR2Disease;
hsa-mir-1	false	true	false	false	false	dbDEMC;
hsa-mir-199a	false	true	true	false	false	dbDEMC;miR2Disease;
hsa-mir-143	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-200c	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-let-7b	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-200a	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-223	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-let-7c	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-34c	true	false	false	false	false	HMDD;
hsa-mir-222	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-15a	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-146b	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
