	HMDD	dbDEMC	miR2Disease	miRwayDB	PhenomiR	result
hsa-mir-21	true	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-155	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-17	true	true	false	true	true	dbDEMC;miRwayDB;PhenomiR;HMDD;
hsa-mir-145	true	true	true	false	false	dbDEMC;miR2Disease;HMDD;
hsa-mir-146a	true	false	false	true	false	miRwayDB;HMDD;
hsa-mir-20a	true	true	false	true	true	dbDEMC;miRwayDB;PhenomiR;HMDD;
hsa-mir-34a	true	true	false	true	false	dbDEMC;miRwayDB;HMDD;
hsa-mir-125b	false	true	false	false	false	dbDEMC;
hsa-mir-126	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-16	false	true	true	false	false	dbDEMC;miR2Disease;
hsa-let-7a	true	true	true	false	false	dbDEMC;miR2Disease;HMDD;
hsa-mir-221	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-18a	true	true	false	true	true	dbDEMC;miRwayDB;PhenomiR;HMDD;
hsa-mir-451a	true	true	false	true	false	dbDEMC;miRwayDB;HMDD;
hsa-mir-103a	false	false	false	false	false	unconfirmed;
hsa-mir-29a	true	false	false	false	false	HMDD;
hsa-mir-378a	true	false	false	false	false	HMDD;
hsa-mir-200c	true	false	false	false	false	HMDD;
hsa-mir-200b	true	true	false	true	false	dbDEMC;miRwayDB;HMDD;
hsa-mir-143	true	true	true	false	false	dbDEMC;miR2Disease;HMDD;
hsa-mir-19a	true	true	false	true	true	dbDEMC;miRwayDB;PhenomiR;HMDD;
hsa-mir-1	false	true	false	true	false	dbDEMC;miRwayDB;
hsa-mir-223	true	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-151a	true	false	false	false	false	HMDD;
hsa-mir-199a	false	false	false	true	false	miRwayDB;
hsa-mir-610	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-938	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-595	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-605	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-449c	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-524	true	false	false	false	false	HMDD;
hsa-mir-551a	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-570	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-577	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-591	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-518f	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-1228	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-128	false	false	false	false	false	unconfirmed;
hsa-mir-222	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-320a	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-200a	true	true	false	true	false	dbDEMC;miRwayDB;HMDD;
hsa-mir-374b	true	false	false	false	false	HMDD;
hsa-mir-34c	true	false	false	false	false	HMDD;
hsa-mir-574	true	false	false	false	false	HMDD;
hsa-mir-640	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-625	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-544a	true	false	false	true	false	miRwayDB;HMDD;
hsa-mir-544b	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-31	true	true	false	true	true	dbDEMC;miRwayDB;PhenomiR;HMDD;
hsa-mir-302e	true	true	false	false	false	dbDEMC;HMDD;
