	HMDD	dbDEMC	miR2Disease	miRwayDB	result
hsa-mir-21	true	true	false	false	dbDEMC;HMDD;
hsa-mir-323a	true	false	false	false	HMDD;
hsa-mir-323b	true	false	false	false	HMDD;
hsa-mir-371a	true	false	false	false	HMDD;
hsa-mir-155	true	false	false	false	HMDD;
hsa-mir-151b	true	false	false	false	HMDD;
hsa-mir-138	false	true	false	false	dbDEMC;
hsa-mir-151a	true	false	false	false	HMDD;
hsa-mir-146a	true	true	false	false	dbDEMC;HMDD;
hsa-mir-125b	false	false	false	false	unconfirmed;
hsa-mir-126	true	true	false	false	dbDEMC;HMDD;
hsa-mir-221	true	true	false	false	dbDEMC;HMDD;
hsa-mir-92a	false	true	false	false	dbDEMC;
hsa-mir-200b	true	true	false	false	dbDEMC;HMDD;
hsa-mir-1	false	false	false	false	unconfirmed;
hsa-mir-200c	true	true	false	false	dbDEMC;HMDD;
hsa-mir-222	true	true	false	false	dbDEMC;HMDD;
hsa-mir-200a	true	true	false	false	dbDEMC;HMDD;
hsa-mir-31	true	true	false	false	dbDEMC;HMDD;
hsa-let-7e	true	true	false	false	dbDEMC;HMDD;
hsa-mir-181a	false	true	false	false	dbDEMC;
hsa-mir-146b	true	false	false	false	HMDD;
hsa-mir-9	false	true	false	false	dbDEMC;
hsa-mir-34b	true	false	false	false	HMDD;
hsa-mir-141	true	true	false	false	dbDEMC;HMDD;
hsa-mir-100	true	false	false	false	HMDD;
hsa-mir-375	true	true	false	false	dbDEMC;HMDD;
hsa-mir-7	false	true	false	false	dbDEMC;
hsa-mir-10b	true	false	false	false	HMDD;
hsa-mir-133b	true	true	false	false	dbDEMC;HMDD;
hsa-mir-218	false	true	false	false	dbDEMC;
hsa-mir-183	true	true	false	false	dbDEMC;HMDD;
hsa-mir-25	true	false	false	false	HMDD;
hsa-mir-127	true	false	false	false	HMDD;
hsa-mir-199b	true	false	false	false	HMDD;
hsa-mir-22	true	false	false	false	HMDD;
hsa-mir-130a	true	true	false	false	dbDEMC;HMDD;
hsa-mir-122	true	false	false	false	HMDD;
hsa-mir-302b	true	false	false	false	HMDD;
hsa-mir-191	true	false	false	false	HMDD;
hsa-mir-30d	true	true	false	false	dbDEMC;HMDD;
hsa-mir-328	true	false	false	false	HMDD;
hsa-mir-144	true	true	false	false	dbDEMC;HMDD;
hsa-mir-129	false	false	false	false	unconfirmed;
hsa-mir-370	true	false	false	false	HMDD;
hsa-mir-197	true	false	false	false	HMDD;
hsa-mir-154	true	true	false	false	dbDEMC;HMDD;
hsa-mir-17	false	true	false	false	dbDEMC;
hsa-mir-145	false	false	false	false	unconfirmed;
hsa-mir-20a	false	true	false	false	dbDEMC;
