	HMDD	dbDEMC	miR2Disease	miRwayDB	PhenomiR	result
hsa-mir-21	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-1227	true	false	false	false	false	HMDD;
hsa-mir-1229	true	false	false	false	false	HMDD;
hsa-mir-944	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-155	true	false	false	true	false	miRwayDB;HMDD;
hsa-mir-642b	true	false	false	false	false	HMDD;
hsa-mir-17	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-146a	true	false	false	false	true	PhenomiR;HMDD;
hsa-mir-378b	true	false	false	false	false	HMDD;
hsa-mir-378c	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-378d	false	true	false	false	false	dbDEMC;
hsa-mir-378e	true	false	false	false	false	HMDD;
hsa-mir-378f	true	false	false	false	false	HMDD;
hsa-mir-378g	true	false	false	false	false	HMDD;
hsa-mir-378h	true	false	false	false	false	HMDD;
hsa-mir-378i	true	false	false	false	false	HMDD;
hsa-mir-642a	true	false	false	false	false	HMDD;
hsa-mir-708	true	false	false	false	false	HMDD;
hsa-mir-20a	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-1224	true	false	false	false	false	HMDD;
hsa-mir-378a	true	false	false	false	false	HMDD;
hsa-mir-145	true	true	true	false	false	dbDEMC;miR2Disease;HMDD;
hsa-mir-125b	false	true	true	false	false	dbDEMC;miR2Disease;
hsa-mir-503	true	false	false	false	false	HMDD;
hsa-mir-1280	true	false	false	false	false	HMDD;
hsa-mir-138	false	false	false	false	false	unconfirmed;
hsa-mir-34a	true	false	false	true	false	miRwayDB;HMDD;
hsa-mir-574	true	false	false	false	false	HMDD;
hsa-mir-493	true	false	false	false	false	HMDD;
hsa-mir-517a	true	false	false	false	false	HMDD;
hsa-mir-126	true	false	false	true	false	miRwayDB;HMDD;
hsa-mir-92a	false	false	false	false	false	unconfirmed;
hsa-mir-18a	true	false	false	false	false	HMDD;
hsa-mir-221	true	false	true	false	true	miR2Disease;PhenomiR;HMDD;
hsa-mir-19b	false	true	false	false	false	dbDEMC;
hsa-mir-200b	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-19a	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-29b	false	false	false	false	false	unconfirmed;
hsa-mir-143	true	true	true	false	false	dbDEMC;miR2Disease;HMDD;
hsa-mir-200c	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-199a	false	false	false	false	false	unconfirmed;
hsa-mir-1	false	true	false	false	false	dbDEMC;
hsa-mir-200a	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-15a	true	false	false	false	true	PhenomiR;HMDD;
hsa-mir-34c	true	false	false	false	false	HMDD;
hsa-mir-222	true	false	true	false	true	miR2Disease;PhenomiR;HMDD;
hsa-mir-29c	true	false	true	true	false	miR2Disease;miRwayDB;HMDD;
hsa-mir-210	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-141	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-9	false	false	false	false	false	unconfirmed;
