	HMDD	dbDEMC	miR2Disease	miRwayDB	PhenomiR	result
hsa-mir-518a	false	false	false	false	false	unconfirmed;
hsa-mir-21	true	true	true	true	true	dbDEMC;miR2Disease;miRwayDB;PhenomiR;HMDD;
hsa-mir-155	true	false	false	false	true	PhenomiR;HMDD;
hsa-mir-345	true	false	false	false	false	HMDD;
hsa-mir-17	true	false	false	false	true	PhenomiR;HMDD;
hsa-mir-146a	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-125b	false	true	false	false	false	dbDEMC;
hsa-mir-20a	true	false	false	false	true	PhenomiR;HMDD;
hsa-mir-145	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-34a	true	true	false	true	true	dbDEMC;miRwayDB;PhenomiR;HMDD;
hsa-mir-126	true	false	false	false	true	PhenomiR;HMDD;
hsa-mir-221	true	true	false	true	false	dbDEMC;miRwayDB;HMDD;
hsa-mir-19b	false	true	false	false	false	dbDEMC;
hsa-mir-16	false	true	false	false	false	dbDEMC;
hsa-mir-19a	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-200a	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-143	true	false	true	false	true	miR2Disease;PhenomiR;HMDD;
hsa-mir-34c	true	false	false	false	true	PhenomiR;HMDD;
hsa-mir-9	false	true	false	false	false	dbDEMC;
hsa-mir-218	false	false	true	false	false	miR2Disease;
hsa-mir-181a	false	true	false	true	false	dbDEMC;miRwayDB;
hsa-mir-182	true	false	false	false	true	PhenomiR;HMDD;
hsa-mir-100	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-205	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-203	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-34b	true	false	false	false	false	HMDD;
hsa-mir-27a	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-7	false	false	false	false	false	unconfirmed;
hsa-mir-214	true	false	true	false	true	miR2Disease;PhenomiR;HMDD;
hsa-mir-133b	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-196a	false	false	false	true	false	miRwayDB;
hsa-mir-375	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-15b	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-194	false	true	false	false	false	dbDEMC;
hsa-mir-193b	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-23b	true	true	true	false	true	dbDEMC;miR2Disease;PhenomiR;HMDD;
hsa-mir-20b	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-302a	true	false	false	false	false	HMDD;
hsa-mir-10a	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-338	true	true	false	false	false	dbDEMC;HMDD;
hsa-mir-372	true	false	false	false	false	HMDD;
hsa-mir-215	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-367	true	false	false	false	false	HMDD;
hsa-mir-497	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-28	true	true	false	false	true	dbDEMC;PhenomiR;HMDD;
hsa-mir-424	true	false	false	false	true	PhenomiR;HMDD;
hsa-mir-494	true	true	false	true	false	dbDEMC;miRwayDB;HMDD;
hsa-mir-512	false	false	false	false	false	unconfirmed;
hsa-mir-92a	false	false	false	false	false	unconfirmed;
hsa-let-7a	false	false	false	false	false	unconfirmed;
